ProvinceCode,Province,DistrictCode,District,ChiefdomCode,Chiefdom,SectionCode,Section,LocalityCode,Locality,chf,loc,CHIEFDOM_SECTION,geonm_placename,geonm_nm,geonm_altnm,geonm_long,geonm_lat,geonm_dist,osm_placename,osm_nm,osm_long,osm_lat,osm_dist
2.0,North ,5.0,TONKOLILI,5.0,KHOLIFA ROWALA,3.0,MAYOSO,5.0,MAYOSO MASOKO,KHOLIFA ROWALLA,MASOKO,KHOLIFA ROWALA_MAYOSO,MASOKO,Masoko,Masoko,-11.86988,8.79101,0,MASOKO,Masoko,-11.929744,8.718048,0
2.0,North ,5.0,TONKOLILI,5.0,KHOLIFA ROWALA,4.0,MAYOSSOH,6.0,MAYOSSOH MAYOSSOH,KHOLIFA ROWALLA,MAYOSSOH,KHOLIFA ROWALA_MAYOSSOH,MAYOSSOH,Mayawso,Mayawso,-11.98213,8.58787,3,MAYOSSOH,Mayawso,-11.9827524,8.5895592,3
3.0,South ,1.0,BO,10.0,KOMBOYA,1.0,KEISUA,1.0,NYAGOIHUN 2,KOMBOYA,NYAGOIHUN 2,KOMBOYA_KEISUA,NYAGOIHUN 2,Naiagolehun,Naiagolehun,-11.48209,8.23425,6,NYAGOIHUN 2,Naiagolehun,-11.4435442,8.180199,6
3.0,South ,1.0,BO,10.0,KOMBOYA,3.0,TONGOWA,1.0,TEIBO,KOMBOYA,TEIBO,KOMBOYA_TONGOWA,TEIBO,Teibo,"Tebo,Teibo",-11.52341,8.24581,0,TEIBO,Tebo,-11.5240815,8.2452268,1
1.0,East,2.0,KENEMA,7.0,KOYA,1.0,JOI,1.0,JOI JOI KOYA WEST,KOYA,KOYA WEST,KOYA_JOI,KOYA WEST,Koya,NA,-11.29145,7.57859,5,KOYA WEST,Kamaso,-11.3282337,7.6328629,6
1.0,East,2.0,KENEMA,7.0,KOYA,2.0,SERABU,2.0,SERABU SERABU,KOYA,SERABU,KOYA_SERABU,SERABU,Serabu,"Selabu,Serabu",-11.3496,7.60459,0,SERABU,Selabu,-11.349517,7.6043841,1
1.0,East,2.0,KENEMA,7.0,KOYA,3.0,UPPER KOYA,3.0,UPPER KOYA BONGOR,KOYA,BONGOR,KOYA_UPPER KOYA,BONGOR,Bongo,Bongo,-11.29068,7.60649,1,BONGOR,Bongo,-11.2909754,7.6069409,1
1.0,East,2.0,KENEMA,7.0,KOYA,3.0,UPPER KOYA,4.0,UPPER KOYA NYANDEHUN,KOYA,NYANDEHUN,KOYA_UPPER KOYA,NYANDEHUN,Nyandehun,Nyandehun,-11.24684,7.60886,0,NYANDEHUN,Nyandehun,-11.246483,7.6088141,0
2.0,North ,5.0,TONKOLILI,7.0,KUNIKE BARINA,1.0,MASABA,1.0,MASABA MASABA,KONIKE BARINA,MASABA,KUNIKE BARINA_MASABA,MASABA,Masaba,Masaba,-11.65732,8.57426,0,MASABA,Masaba,-11.6574318,8.574156,0
2.0,North ,5.0,TONKOLILI,7.0,KUNIKE BARINA,2.0,MATHONKARA,2.0,MATHONKARA SECTION MAKONI LINE,KONIKE BARINA,MAKONI LINE,KUNIKE BARINA_MATHONKARA,MAKONI LINE,Makonte,Makonte,-11.61349,8.55805,5,MAKONI LINE,Makoni line,-11.574935,8.6393431,0
2.0,North ,5.0,TONKOLILI,7.0,KUNIKE BARINA,3.0,WONKIBOR,3.0,WONKIBOR MAPAMURIE,KONIKE BARINA,MAPAMURIE,KUNIKE BARINA_WONKIBOR,MAPAMURIE,Mapamuri,"Mamuri,Mapamuri",-11.56683,8.56349,1,MAPAMURIE,Makali,-11.6626154,8.6294125,5
